"","Species","Performance metric","SS_OM__SS_fixM_Cat1_EM_ConstantR"
"1","Pollock","Average Catch",1841464.56554013
"2","Pollock","Catch IAV",29866.457995935
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00025770821666717
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.00124031007751938
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.00511627906976744
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00387596899224806
"13","Pollock","OM: Terminal SSB Depletion",0.483135756128381
"14","Pollock","Average M",0.879545454545309
"15","Pollock","M var",0.000408910579883264
"16","Pollock","Min M",0.9
"17","Pollock","Max M",0.9
"18","Cod","Average Catch",122769.808143991
"19","Cod","Catch IAV",1274.51917845564
"20","Cod","P(Closed)",0
"21","Cod","Avg terminal SSB Relative MSE",0.000523532020021817
"22","Cod","EM: P(Fy > Flimit)",0
"23","Cod","EM: P(SSB < SSBlimit)",0.000387596899224806
"24","Cod","OM: P(Fy > Flimit)",0
"25","Cod","OM: P(SSB < SSBlimit)",0.000697674418604651
"26","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"27","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"28","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"29","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000310077519379845
"30","Cod","OM: Terminal SSB Depletion",0.487884528095412
"31","Cod","Average M",0.371363636363745
"32","Cod","M var",7.28971453491675e-05
"33","Cod","Min M",0.38
"34","Cod","Max M",0.38
"35","Arrowtooth flounder","Average Catch",35017.1761659625
"36","Arrowtooth flounder","Catch IAV",285.801394715579
"37","Arrowtooth flounder","P(Closed)",0
"38","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000217049345173474
"39","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"40","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"41","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"42","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"43","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"44","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"45","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"46","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"47","Arrowtooth flounder","OM: Terminal SSB Depletion",0.391065189701183
"48","Arrowtooth flounder","Average M",0.263263124750007
"49","Arrowtooth flounder","M var",3.66346320385377e-05
"50","Arrowtooth flounder","Min M",0.269385523
"51","Arrowtooth flounder","Max M",0.269385523
