"","Species","Performance metric","MS_OM__SS_estM_Tier3_EM_AllUp"
"1","Pollock","Average Catch",525977.906981069
"2","Pollock","Catch IAV",80876.7752340344
"3","Pollock","P(Closed)",0.00619047619047619
"4","Pollock","Avg terminal SSB Relative MSE",0.0503967223651632
"5","Pollock","EM: P(Fy > Flimit)",0.0838888888888889
"6","Pollock","EM: P(SSB < SSBlimit)",0.00214285714285714
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0294444444444444
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0838888888888889
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000317460317460317
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0276190476190476
"13","Pollock","OM: Terminal SSB Depletion",0.658097333837689
"14","Arrowtooth flounder","Average Catch",142037.262597262
"15","Arrowtooth flounder","Catch IAV",1140.67236186799
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0158180716590597
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.556209474476279
"27","Cod","Average Catch",29660.8065695915
"28","Cod","Catch IAV",5270.71507061178
"29","Cod","P(Closed)",0.0336507936507936
"30","Cod","Avg terminal SSB Relative MSE",0.00715594933221134
"31","Cod","EM: P(Fy > Flimit)",0.0158730158730159
"32","Cod","EM: P(SSB < SSBlimit)",0.0176984126984127
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.00373015873015873
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0158730158730159
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0176984126984127
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00373015873015873
"39","Cod","OM: Terminal SSB Depletion",0.599769643137969
